사진의 주소 URL,상품 이름,가격,상세 스펙 텍스트,상세 페이지,리뷰 개수,별의 개수
/images/test-sites/e-commerce/items/cart2.png,Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",/test-sites/e-commerce/static/product/31,2,2
/images/test-sites/e-commerce/items/cart2.png,Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",/test-sites/e-commerce/static/product/32,2,3
/images/test-sites/e-commerce/items/cart2.png,ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",/test-sites/e-commerce/static/product/33,2,1
/images/test-sites/e-commerce/items/cart2.png,ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",/test-sites/e-commerce/static/product/34,8,4
/images/test-sites/e-commerce/items/cart2.png,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",/test-sites/e-commerce/static/product/35,12,3
/images/test-sites/e-commerce/items/cart2.png,Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",/test-sites/e-commerce/static/product/36,2,1
/images/test-sites/e-commerce/items/cart2.png,Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",/test-sites/e-commerce/static/product/31,2,2
/images/test-sites/e-commerce/items/cart2.png,Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",/test-sites/e-commerce/static/product/32,2,3
/images/test-sites/e-commerce/items/cart2.png,ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",/test-sites/e-commerce/static/product/33,2,1
/images/test-sites/e-commerce/items/cart2.png,ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",/test-sites/e-commerce/static/product/34,8,4
/images/test-sites/e-commerce/items/cart2.png,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",/test-sites/e-commerce/static/product/35,12,3
/images/test-sites/e-commerce/items/cart2.png,Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",/test-sites/e-commerce/static/product/36,2,1
