Team Name,Year,Wins,Losses,OT Losses,win,Goals For(GF),Goals Against(GA),+ / -
Boston Bruins,1990,44,24,,0.55(success),299,264,35(success)
Buffalo Sabres,1990,31,30,,0.388(danger),292,278,14(success)
Calgary Flames,1990,46,26,,0.575(success),344,263,81(success)
Chicago Blackhawks,1990,49,23,,0.613(success),284,211,73(success)
Detroit Red Wings,1990,34,38,,0.425(danger),273,298,-25(danger)
Edmonton Oilers,1990,37,37,,0.463(danger),272,272,0(success)
Hartford Whalers,1990,31,38,,0.388(danger),238,276,-38(danger)
Los Angeles Kings,1990,46,24,,0.575(success),340,254,86(success)
Minnesota North Stars,1990,27,39,,0.338(danger),256,266,-10(danger)
Montreal Canadiens,1990,39,30,,0.487(danger),273,249,24(success)
New Jersey Devils,1990,32,33,,0.4(danger),272,264,8(success)
New York Islanders,1990,25,45,,0.312(danger),223,290,-67(danger)
New York Rangers,1990,36,31,,0.45(danger),297,265,32(success)
Philadelphia Flyers,1990,33,37,,0.412(danger),252,267,-15(danger)
Pittsburgh Penguins,1990,41,33,,0.512(success),342,305,37(success)
Quebec Nordiques,1990,16,50,,0.2(danger),236,354,-118(danger)
St. Louis Blues,1990,47,22,,0.588(success),310,250,60(success)
Toronto Maple Leafs,1990,23,46,,0.287(danger),241,318,-77(danger)
Vancouver Canucks,1990,28,43,,0.35(danger),243,315,-72(danger)
Washington Capitals,1990,37,36,,0.463(danger),258,258,0(success)
Winnipeg Jets,1990,26,43,,0.325(danger),260,288,-28(danger)
Boston Bruins,1991,36,32,,0.45(danger),270,275,-5(danger)
Buffalo Sabres,1991,31,37,,0.388(danger),289,299,-10(danger)
Calgary Flames,1991,31,37,,0.388(danger),296,305,-9(danger)
Chicago Blackhawks,1991,36,29,,0.45(danger),257,236,21(success)
Detroit Red Wings,1991,43,25,,0.537(success),320,256,64(success)
Edmonton Oilers,1991,36,34,,0.45(danger),295,297,-2(danger)
Hartford Whalers,1991,26,41,,0.325(danger),247,283,-36(danger)
Los Angeles Kings,1991,35,31,,0.438(danger),287,296,-9(danger)
Minnesota North Stars,1991,32,42,,0.4(danger),246,278,-32(danger)
Montreal Canadiens,1991,41,28,,0.512(success),267,207,60(success)
New Jersey Devils,1991,38,31,,0.475(danger),289,259,30(success)
