group,date,ratio
필라테스,2024-12-02,72.11751
필라테스,2024-12-09,73.72162
필라테스,2024-12-16,77.81488
필라테스,2024-12-23,73.52085
필라테스,2024-12-30,95.59124
필라테스,2025-01-06,99.85659
필라테스,2025-01-13,94.59559
필라테스,2025-01-20,81.21568
필라테스,2025-01-27,75.72523
필라테스,2025-02-03,96.79177
필라테스,2025-02-10,89.27927
필라테스,2025-02-17,89.59067
필라테스,2025-02-24,92.54281
필라테스,2025-03-03,100.0
필라테스,2025-03-10,95.5851
필라테스,2025-03-17,90.30566
필라테스,2025-03-24,88.33688
필라테스,2025-03-31,83.87486
필라테스,2025-04-07,80.65844
필라테스,2025-04-14,79.96804
필라테스,2025-04-21,74.94468
필라테스,2025-04-28,65.90592
필라테스,2025-05-05,69.84348
필라테스,2025-05-12,82.63336
필라테스,2025-05-19,78.58928
필라테스,2025-05-26,79.86355
필라테스,2025-06-02,73.39178
필라테스,2025-06-09,83.53273
필라테스,2025-06-16,89.6255
필라테스,2025-06-23,95.13029
필라테스,2025-06-30,95.79201
필라테스,2025-07-07,92.65549
필라테스,2025-07-14,92.20273
필라테스,2025-07-21,96.75079
필라테스,2025-07-28,84.88691
필라테스,2025-08-04,91.89543
필라테스,2025-08-11,84.82955
필라테스,2025-08-18,91.14357
필라테스,2025-08-25,97.65631
필라테스,2025-09-01,94.26985
필라테스,2025-09-08,80.50479
필라테스,2025-09-15,75.20077
필라테스,2025-09-22,67.62681
필라테스,2025-09-29,54.95369
필라테스,2025-10-06,55.83872
필라테스,2025-10-13,71.66475
필라테스,2025-10-20,66.02679
필라테스,2025-10-27,67.08596
필라테스,2025-11-03,68.12259
필라테스,2025-11-10,75.46504
필라테스,2025-11-17,71.44349
필라테스,2025-11-24,73.44095
필라테스,2025-12-01,33.22133
